Pression,Temperature,_id,cpu_temp,date,id_capteur,mac,time
18,34,60c738551f6f0ea00fe7b0de,50,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,0:00:00
14,32,60c738551f6f0ea00fe7b0df,74,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,1:00:00
6,20,60c738551f6f0ea00fe7b0e0,35,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,2:00:00
54,65,60c738551f6f0ea00fe7b0e1,35,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,3:00:00
44,62,60c738551f6f0ea00fe7b0e2,50,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,4:00:00
51,65,60c738551f6f0ea00fe7b0e3,84,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,5:00:00
36,50,60c738551f6f0ea00fe7b0e4,53,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,6:00:00
25,38,60c738551f6f0ea00fe7b0e5,25,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,7:00:00
10,22,60c738551f6f0ea00fe7b0e6,71,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,8:00:00
9,26,60c738551f6f0ea00fe7b0e7,94,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,9:00:00
26,43,60c738551f6f0ea00fe7b0e8,71,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,10:00:00
47,59,60c738551f6f0ea00fe7b0e9,29,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,11:00:00
22,99,60c738551f6f0ea00fe7b0ea,78,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,12:00:00
25,98,60c738551f6f0ea00fe7b0eb,79,2021-05-1,5fe37feb264392bcd1b27,CHPTOTOYPE24517,13:00:00
